Molecule_ID,Wavenumber_cm-1,Wavelength_nm,Intensity_S,Gamma_Air
6,6042.233297,1655.0171945470977,4.3e-25,0.0
6,6042.3062,1654.9972260591494,7.64e-26,0.0
6,6042.3203,1654.9933640558577,2.6e-25,0.0
6,6042.385202,1654.975587569301,1.3e-24,0.001381
6,6042.399652,1654.9716298044034,8.15e-25,0.0008714
6,6042.415461,1654.9672998395633,1.56e-23,0.01668
6,6042.438944,1654.9608680663234,3.08e-23,0.01872
6,6042.516535,1654.9396169753304,1.82e-23,0.01946
6,6042.532827,1654.9351548934499,5e-25,0.0
6,6042.613678,1654.9130116340361,9.84e-25,0.0
6,6042.6602,1654.900270579504,4.97e-26,0.0
6,6042.691507,1654.8916965917851,3.62e-25,0.0
6,6042.7183,1654.8843589150927,9.72e-26,0.0
6,6042.830157,1654.8537258516233,1.69e-25,0.0
6,6042.855793,1654.846705358074,3.41e-24,0.002177
6,6042.881596,1654.8396391912358,8.24e-24,0.008349
6,6042.908723,1654.8322105112825,1.38e-24,0.0
6,6042.933952,1654.8253016550593,5.94e-24,0.006313
6,6042.93602,1654.8247353444592,8.28e-24,0.01258
6,6043.079108,1654.785552411802,4.85e-25,0.0
6,6043.1445,1654.7676462146485,1.07e-25,0.0
6,6043.174514,1654.7594276540199,3.21e-25,0.0
6,6043.231457,1654.7438355048926,1.92e-24,0.003678
6,6043.2456,1654.7399629099966,2.44e-25,0.0
6,6043.304001,1654.7239719109407,3.04e-24,0.003231
6,6043.349051,1654.7116368109316,6.33e-25,0.0
6,6043.3633,1654.707735343331,6.81e-26,0.0
6,6043.3955,1654.698918844547,2.43e-25,0.0
6,6043.428499,1654.6898836735952,1.32e-24,0.001686
6,6043.5029,1654.6695129409136,6.85e-26,0.0
6,6043.5366,1654.6602861642302,4.03e-26,0.0
6,6043.5648,1654.6525653203882,7.24e-26,0.0
6,6043.570473,1654.6510121252954,2.91e-25,0.0005595
6,6043.6328,1654.633947979103,1.08e-25,0.0
6,6043.6489,1654.6295401111074,1.01e-25,0.0
6,6043.7267,1654.6082403097414,1.76e-25,0.0
6,6043.757,1654.59994503419,1.11e-25,0.0
6,6043.7757,1654.594825549201,2.73e-26,2.257e-05
6,6043.7784,1654.5940863748413,2.78e-26,0.0
6,6043.7911,1654.590609526527,9.25e-26,0.0
6,6043.8017,1654.5877076013264,7.43e-26,0.0
6,6043.8034,1654.5872421991755,7.48e-26,6.184e-05
6,6043.8369,1654.5780710925537,2.91e-26,0.0
6,6043.8569,1654.5725958534856,9.09e-26,0.0
6,6043.881399,1654.5658890087695,1.96e-25,0.0001621
6,6043.8882,1654.5640271770744,3.17e-26,0.0
6,6043.916,1654.5564167337864,6.61e-26,0.0
6,6043.951888,1654.5465922477906,3.11e-25,0.0
6,6044.097045,1654.5068561188198,1.71e-25,0.0
6,6044.122816,1654.4998016135614,6.48e-24,0.03738
6,6044.1572,1654.490389495495,1.18e-25,0.0
6,6044.2075,1654.4766207976809,2.39e-25,0.0
6,6044.281867,1654.4562646221145,1.21e-24,0.0
6,6044.3101,1654.4485366493689,4.83e-26,0.0
6,6044.3276,1654.4437465633068,2.94e-26,0.0
6,6044.3574,1654.4355897948722,1.7e-25,0.0
6,6044.3916,1654.4262287704853,4.69e-26,0.0
6,6044.4185,1654.418865933919,5.56e-26,0.0
6,6044.4365,1654.4139391653796,2.7e-25,0.0
6,6044.499,1654.3968325580004,1.82e-25,0.0
6,6044.6187,1654.3640709710937,1.3e-25,0.0
6,6044.6738,1654.348990676718,5.94e-26,0.0
6,6044.6958,1654.3429695833493,6.67e-26,0.0
6,6044.8496,1654.3008778911556,2.27e-26,0.0
6,6044.8813,1654.2922025615292,3.13e-26,0.0
6,6044.923107,1654.2807613913294,9.73e-25,0.0
6,6045.105824,1654.2307597492274,1.51e-23,0.03216
6,6045.1606,1654.2157705454508,5.13e-26,0.0
6,6045.2412,1654.1937152152009,7.84e-26,0.0
6,6045.312,1654.1743420356138,3.34e-26,0.0
6,6045.4419,1654.1387983564941,5.05e-26,0.0
6,6045.463844,1654.1327941155082,8.63e-25,0.0
6,6045.558411,1654.106919520424,9.38e-24,0.02997
6,6045.569794,1654.1038050581474,1.99e-24,0.0
6,6045.6099,1654.0928318911215,1.17e-25,0.0
6,6045.6426,1654.0838851439878,1.25e-25,0.0
6,6045.6997,1654.0682627686585,5.47e-26,0.0
6,6045.739234,1654.057446567005,1.49e-24,0.0
6,6045.7403,1654.0571549194726,3.2e-25,0.0002647
6,6045.7773,1654.047032132659,1.42e-25,0.0001175
6,6045.799921,1654.0408433407038,1.05e-24,0.0
6,6045.8437,1654.0288661448524,1.19e-25,0.0
6,6045.857726,1654.0250289045587,6.13e-25,0.0
6,6045.916,1654.0090864643173,1.04e-25,0.0
6,6045.936766,1654.0034054335658,4.73e-25,0.0
6,6045.9639,1653.9959823445192,2.45e-25,0.0
6,6046.0527,1653.971689661256,2.52e-25,0.0
6,6046.0737,1653.9659448742743,1.57e-25,0.0
6,6046.1313,1653.9501879491106,9.81e-26,0.0
6,6046.150687,1653.9448845529575,4.07e-25,0.0
6,6046.2607,1653.9147906738458,9.17e-26,0.0
6,6046.285677,1653.9079584082313,8.59e-25,0.0
6,6046.3384,1653.8935366237524,7.22e-26,0.0
6,6046.4546,1653.8617523068808,1.16e-25,0.0
6,6046.5029,1653.8485411129134,1.4e-25,0.0
6,6046.5215,1653.843453628669,3.23e-26,0.0
6,6046.551091,1653.8353599433763,3.91e-25,0.0
6,6046.5684,1653.8306256487563,5.73e-26,0.0
6,6046.626,1653.8148713017804,2.49e-25,0.0
6,6046.729708,1653.786506575564,7.21e-25,0.0
6,6046.776743,1653.7736425569894,1.3e-24,0.0
6,6046.823749,1653.7607866698215,1.53e-25,0.0
6,6046.921445,1653.734067980769,8.57e-25,0.0
6,6046.942069,1653.7284276734817,8.65e-22,0.7159
6,6046.951708,1653.7257915868906,8.65e-22,0.7159
6,6046.963579,1653.7225451015074,1.43e-21,0.7101
6,6047.007381,1653.7105662249562,9.43e-25,0.0
6,6047.0767,1653.6916093688708,3.06e-25,0.0
6,6047.2129,1653.6543636490785,1.22e-25,0.0
6,6047.2534,1653.6432887035958,2.38e-25,0.0
6,6047.273546,1653.6377797254684,6.96e-25,0.0
6,6047.3286,1653.6227252476408,2.31e-25,0.0
6,6047.3446,1653.6183501102284,6.12e-25,0.0
6,6047.4575,1653.5874787048936,1.11e-25,0.0
6,6047.5405,1653.5647838985121,1.6e-25,0.0
6,6047.5606,1653.5592880210247,1.03e-25,0.0
6,6047.5981,1653.549034615908,7.62e-26,0.0
6,6047.7812,1653.4989724826685,1.94e-25,0.0
6,6047.8721,1653.4741202612404,2.9e-25,0.0
6,6047.9419,1653.45503732435,2.06e-25,0.0
6,6047.9741,1653.4462341695544,9.65e-26,0.0
6,6048.002201,1653.4385517165588,7.04e-25,0.0
6,6048.022208,1653.4330821028625,7.3e-25,0.0
6,6048.0913,1653.414193664702,3.57e-26,0.0
6,6048.177886,1653.3905233090888,4.53e-25,0.0
6,6048.3384,1653.3466447578396,2.54e-26,0.0
6,6048.380181,1653.3352237700547,8.94e-25,0.0007202
6,6048.4219,1653.3238198876304,1.4e-25,0.0
6,6048.439196,1653.3190920747415,3.86e-25,0.0005183
6,6048.4436,1653.3178882580637,1.64e-25,0.0
6,6048.4556,1653.3146081125237,2.3e-25,0.0004633
6,6048.4604,1653.3132960579521,5.21e-26,0.0
6,6048.4747,1653.3093872410511,2.92e-25,0.000392
6,6048.5317,1653.2938068258782,3.63e-26,0.0
